"isl1","fst.dist","p.value","geo.dist","fv","neg.resid","islands.combo","geo_lat","geo_long","group.id"
"Mainland",0.57288,0,13002.4109951157,0.6151129368653,-0.0422329368653002,"Mohotani:Mainland",15.20989,105.7906,1
"Mohotani",0.57288,0,13002.4109951157,0.6151129368653,-0.0422329368653002,"Mohotani:Mainland",-10,221.07,1
"Mainland",0.56993,0,12026.1800648129,0.596676103156233,-0.0267461031562326,"Reiono:Mainland",15.20989,105.7906,2
"Reiono",0.56993,0,12026.1800648129,0.596676103156233,-0.0267461031562326,"Reiono:Mainland",-17.046,210.454,2
"Hatutaa",0.56786,0,12776.3257036747,0.610843151107671,-0.0429831511076709,"Mainland:Hatutaa",-7.92,219.43,3
"Mainland",0.56786,0,12776.3257036747,0.610843151107671,-0.0429831511076709,"Mainland:Hatutaa",15.20989,105.7906,3
"Halmahera",0.55832,0,10840.0516269913,0.574275201805022,-0.0159552018050219,"Kamaka:Halmahera",1.266,127.8565,4
"Kamaka",0.55832,0,10840.0516269913,0.574275201805022,-0.0159552018050219,"Kamaka:Halmahera",-23.24,225.37,4
"Kamaka",0.55773,0,11515.5259748035,0.587032027919405,-0.0293020279194048,"Sulawesi:Kamaka",-23.24,225.37,5
"Sulawesi",0.55773,0,11515.5259748035,0.587032027919405,-0.0293020279194048,"Sulawesi:Kamaka",-1.3252,120.1039,5
"Borneo",0.55637,0,10846.5339073489,0.574397624401253,-0.0180276244012526,"Tahanea:Borneo",-0.5102,117.0912,6
"Tahanea",0.55637,0,10846.5339073489,0.574397624401253,-0.0180276244012526,"Tahanea:Borneo",-16.87,215.03,6
"Mainland",0.55072,0,12024.5943854166,0.596646156443382,-0.0459261564433817,"Rimatuu:Mainland",15.20989,105.7906,7
"Rimatuu",0.55072,0,12024.5943854166,0.596646156443382,-0.0459261564433817,"Rimatuu:Mainland",-17.03,210.442,7
"Mainland",0.54252,0,9249.70140325618,0.544240276969061,-0.00172027696906107,"Rakiura:Mainland",15.20989,105.7906,8
"Rakiura",0.54252,0,9249.70140325618,0.544240276969061,-0.00172027696906107,"Rakiura:Mainland",-46.95,167.9,8
"Borneo",0.52864,0,11858.177784045,0.593503257452295,-0.0648632574522954,"Kamaka:Borneo",-0.5102,117.0912,9
"Kamaka",0.52864,0,11858.177784045,0.593503257452295,-0.0648632574522954,"Kamaka:Borneo",-23.24,225.37,9
"Malenge",0.52555,0,11002.5633537676,0.577344354389051,-0.0517943543890509,"Mohotani:Malenge",-0.2659,122.0439,10
"Mohotani",0.52555,0,11002.5633537676,0.577344354389051,-0.0517943543890509,"Mohotani:Malenge",-10,221.07,10
"Mohotani",0.51213,0,11194.1560806049,0.580962722886626,-0.0688327228866261,"Sulawesi:Mohotani",-10,221.07,11
"Sulawesi",0.51213,0,11194.1560806049,0.580962722886626,-0.0688327228866261,"Sulawesi:Mohotani",-1.3252,120.1039,11
"Malenge",0.50797,0,9839.46734018976,0.555378437181978,-0.0474084371819777,"Reiono:Malenge",-0.2659,122.0439,12
"Reiono",0.50797,0,9839.46734018976,0.555378437181978,-0.0474084371819777,"Reiono:Malenge",-17.046,210.454,12
"Mohotani",0.50357,0.99902,7668.88997346569,0.514385499219495,-0.0108154992194954,"Normanby_Island:Mohotani",-10,221.07,13
"Normanby_Island",0.50357,0.99902,7668.88997346569,0.514385499219495,-0.0108154992194954,"Normanby_Island:Mohotani",-10.0546,150.9625,13
"Hatutaa",0.49824,0,10828.7316711238,0.574061416175572,-0.0758214161755724,"Malenge:Hatutaa",-7.92,219.43,14
"Malenge",0.49824,0,10828.7316711238,0.574061416175572,-0.0758214161755724,"Malenge:Hatutaa",-0.2659,122.0439,14
