"islands.combo","fst.dist","p.value","geo.dist","fv","neg.resid"
"Normanby_Island:Honuea",0.79851,0.99902,6459.33550193945,0.491542180122166,0.306967819877834
"Normanby_Island:Kaikura_Island",0.4874,0.99902,3796.70022961463,0.441256369439518,0.0461436305604825
"Normanby_Island:Kamaka",0.63309,0.99902,7995.02115862673,0.520544724707557,0.112545275292443
"Normanby_Island:Kayangel",0.64147,0.99902,2695.59696793743,0.420461230603096,0.221008769396904
"Normanby_Island:Late_Island",0.16366,0.99902,3830.70471540865,0.441898568974982,-0.278238568974982
"Normanby_Island:Mainland",-0.33292,0.99902,5711.82124752548,NA,NA
"Normanby_Island:Malenge",0.20633,0.99902,3379.99871968316,0.433386657257236,-0.227056657257236
"Normanby_Island:Mohotani",0.50357,0.99902,7668.88997346569,0.514385499219495,-0.0108154992194954
"Normanby_Island:Motukawanui",0.64048,0.99902,3615.80126032323,0.437839960359001,0.202640039640999
"Normanby_Island:New_Britain",0.24361,0.99902,479.351933471133,0.378605825400631,-0.134995825400631
"Normanby_Island:New_Guinea",0.20101,0.99902,580.140833051355,0.380509297339083,-0.179499297339083
"Rakiura:Aotea",0.22414,0,1344.49141340843,0.39494461597942,-0.17080461597942
"Rakiura:Borneo",0.3873,0,7112.44651431384,0.503876658322906,-0.116576658322906
"Rakiura:Doubtful_Sound",0.3594,0.04102,194.877705297972,0.373233321952377,-0.0138333219523766
"Rakiura:Great_Mercury_Island",0.28198,0.05078,1328.78777718507,0.394648041346624,-0.112668041346624
"Rakiura:Halmahera",0.41975,0,6613.0199746551,0.494444623569892,-0.0746946235698916
"Rakiura:Hatutaa",0.31344,0,6511.08762555547,0.492519556752616,-0.179079556752616
"Rakiura:Honuea",0.46277,0,5112.84996156859,0.466112817838201,-0.00334281783820073
"Rakiura:Kaikura_Island",0.24325,0,1345.30855338999,0.394960048264435,-0.151710048264435
"Rakiura:Kamaka",0.41353,0,5708.22872589974,0.477356980393549,-0.0638269803935493
"Rakiura:Kayangel",0.63949,0,6922.43918502908,0.500288231215356,0.139201768784644
"Rakiura:Late_Island",0.2299,0,3502.11700878831,0.435692950286047,-0.205792950286047
"Rakiura:Mainland",0.54252,0,9249.70140325618,0.544240276969061,-0.00172027696906107
"Rakiura:Malenge",0.46485,0,6817.14820116845,0.498299734129016,-0.0334497341290157
"Rakiura:Mohotani",0.30736,0,6448.66889970432,0.491340733552973,-0.183980733552973
"Rakiura:Motukawanui",0.31599,0,1420.01708867304,0.396370973486026,-0.0803809734860262
"Rakiura:New_Britain",0.37665,0,4868.61080923426,0.461500183166366,-0.0848501831663664
"Rakiura:New_Guinea",0.48839,0.00391,4922.59065144526,0.462519631888583,0.0258703681114166
