# This document produced by structureHarvester core version vA.2 July 2014
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# File generated at 2022-Apr-03 13:15:33 PDT
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
2	10	-50236.060000	27.639674
3	10	-48447.030000	121.557120
4	10	-46821.270000	112.847164
5	10	-45235.530000	217.309887
6	10	-43579.260000	123.117588
7	10	-42597.610000	513.648489
8	10	-41179.700000	607.290141
9	10	-40525.280000	637.406725
10	10	-40278.840000	880.039792
11	10	-39334.650000	1197.291264
12	10	-48182.880000	26402.324230
13	10	-37791.570000	862.426858
14	10	-45081.110000	17104.469488
15	10	-89000.020000	70144.634530
16	10	-114744.270000	107670.826501
17	10	-46604.070000	13420.668257
18	10	-67042.060000	34889.440761
19	10	-87824.130000	56604.789675
20	10	-70789.980000	36514.928051
21	10	-79853.940000	52191.168314
22	10	-113472.800000	58198.057650
23	10	-91142.840000	41806.250886
24	10	-95101.250000	36432.428624
25	10	-88041.200000	32440.770449

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
as_pdf_run_2_f	2	2	-50232.3	-49972.5	519.5
as_pdf_run_6_f	6	2	-50227.4	-49971.6	511.7
as_pdf_run_8_f	8	2	-50296.7	-49973.4	646.5
as_pdf_run_1_f	1	2	-50216.5	-49972.3	488.5
as_pdf_run_10_f	10	2	-50221.1	-49971.0	500.3
as_pdf_run_4_f	4	2	-50250.2	-49969.4	561.6
as_pdf_run_3_f	3	2	-50227.5	-49970.9	513.1
as_pdf_run_7_f	7	2	-50267.1	-49972.1	590.0
as_pdf_run_9_f	9	2	-50211.1	-49971.2	479.7
as_pdf_run_5_f	5	2	-50210.7	-49972.5	476.4
as_pdf_run_13_f	13	3	-48627.3	-48241.2	772.3
as_pdf_run_15_f	15	3	-48356.2	-48026.2	659.9
as_pdf_run_11_f	11	3	-48349.4	-48025.2	648.3
as_pdf_run_14_f	14	3	-48688.7	-48304.5	768.4
as_pdf_run_20_f	20	3	-48381.2	-48030.1	702.2
as_pdf_run_16_f	16	3	-48501.6	-48148.7	705.8
as_pdf_run_12_f	12	3	-48363.3	-48025.8	674.9
as_pdf_run_17_f	17	3	-48360.7	-48026.3	668.8
as_pdf_run_19_f	19	3	-48445.1	-48149.6	591.1
as_pdf_run_18_f	18	3	-48396.8	-48032.2	729.3
as_pdf_run_27_f	27	4	-47023.1	-46592.5	861.1
as_pdf_run_21_f	21	4	-46786.3	-46383.1	806.4
as_pdf_run_22_f	22	4	-46794.7	-46372.3	844.7
as_pdf_run_29_f	29	4	-46721.4	-46167.6	1107.7
as_pdf_run_30_f	30	4	-46896.8	-46473.9	845.9
as_pdf_run_28_f	28	4	-46701.3	-46247.0	908.6
as_pdf_run_26_f	26	4	-46677.5	-46255.4	844.2
as_pdf_run_23_f	23	4	-46774.3	-46373.3	801.9
as_pdf_run_25_f	25	4	-46914.6	-46487.7	853.7
